Ride ID,Request Time,Pickup Location,latitude,longitude,Dropoff Location,,,Ride Distance (in miles),Fare Amount (in $),Payment Method,Driver ID,Vehicle Type,Traffic Condition,Peak Hours,Day of Week,Public Holiday,User Rating
11,10/19/22 13:47,"-10.55225,-111.522116",-10.55225,-111.522116,"-86.592732,110.480922",-86.592732,110.480922,4076.35725831884,427.64,PayPal,QQ3095,Motorcycle,Medium,Yes,Saturday,Yes,5
12,12/26/24 22:12,"87.69805,11.483659",87.69805,11.483659,"61.159478,-113.204977",61.159478,-113.204977,5583.58575838869,578.36,Visa,BE5522,Bus,Low,No,Friday,Yes,4
13,11/22/24 16:14,"76.464656,-25.068491",76.464656,-25.068491,"-22.219152,30.070442",-22.219152,30.070442,7351.64710696549,755.16,Apple Pay,HM7295,Bus,Low,No,Tuesday,Yes,2
14,12/11/22 22:49,"-57.173206,68.8585",-57.173206,68.8585,"71.123911,172.877783",71.123911,172.877783,10049.9046417124,1024.99,Visa,IT6581,Motorcycle,Low,No,Wednesday,No,1
15,1/1/23 8:28,"21.565253,-161.814119",21.565253,-161.814119,"-83.763762,-171.813034",-83.763762,-171.813034,6794.03581954999,699.40,Apple Pay,KG3476,SUV,Medium,Yes,Friday,No,5
16,10/31/24 5:11,"61.431904,46.584519",61.431904,46.584519,"31.470276,-110.691251",31.470276,-110.691251,4682.4556106612,488.25,Cash,WQ8929,Sedan,Medium,No,Tuesday,No,3
17,10/4/22 18:00,"9.136984,-102.10409",9.136984,-102.10409,"21.394444,-173.54762",21.394444,-173.54762,6041.50905848567,624.15,Apple Pay,OS9938,Bus,Medium,Yes,Monday,No,4
18,4/12/22 21:43,"81.395467,-141.244524",81.395467,-141.244524,"12.022841,169.902924",12.022841,169.902924,8341.57134612083,854.16,Visa,YS2804,Bus,Medium,Yes,Wednesday,Yes,5
19,7/24/22 23:25,"17.813506,31.967608",17.813506,31.967608,"52.307392,173.449997",52.307392,173.449997,7242.6293319286,744.26,Visa,OX5703,Sedan,Medium,No,Wednesday,No,4
20,12/22/22 3:04,"67.865804,-41.888171",67.865804,-41.888171,"-38.528299,180.224692",-38.528299,180.224692,10146.7890054736,1034.68,Debit Card,LZ6088,Sedan,Low,No,Thursday,No,4
21,5/13/22 21:56,"-51.819125,77.938422",-51.819125,77.938422,"-39.179918,108.781411",-39.179918,108.781411,10463.2161514793,1066.32,PayPal,DT5989,SUV,Low,No,Monday,Yes,1
22,6/13/24 3:20,"-3.546866,-15.311193",-3.546866,-15.311193,"56.595876,-23.250583",56.595876,-23.250583,5477.93423100075,567.79,PayPal,RO6476,Bus,Low,Yes,Tuesday,Yes,3
23,9/3/23 21:13,"-86.091673,-36.159156",-86.091673,-36.159156,"-23.031465,-68.08333",-23.031465,-68.08333,3533.05927602511,373.31,Cash,ES9908,Sedan,Low,Yes,Monday,No,5
24,2/5/22 5:41,"-42.913126,135.487889",-42.913126,135.487889,"-29.883934,-96.859072",-29.883934,-96.859072,9187.9219634909,938.79,Apple Pay,DI7793,SUV,High,Yes,Thursday,Yes,2
25,1/6/23 7:26,"66.441491,17.656482",66.441491,17.656482,"5.613231,115.435141",5.613231,115.435141,5627.16108373558,582.72,Cash,FB9098,Motorcycle,High,No,Tuesday,Yes,5
26,5/7/24 22:06,"79.705342,115.96982",79.705342,115.96982,"-86.486755,163.643628",-86.486755,163.643628,1681.50549296006,188.15,Apple Pay,PF8605,Bus,Low,Yes,Monday,Yes,4
27,1/16/23 19:33,"-74.975952,-113.417713",-74.975952,-113.417713,"54.364813,165.000855",54.364813,165.000855,1568.15411324383,176.82,Apple Pay,ZS3397,Motorcycle,High,No,Saturday,Yes,5
28,7/2/23 23:26,"68.772777,76.014197",68.772777,76.014197,"14.850113,-121.207729",14.850113,-121.207729,2259.48455447156,245.95,Cash,LX0236,Motorcycle,High,No,Wednesday,Yes,4
29,1/9/23 4:43,"13.659047,139.527923",13.659047,139.527923,"-82.429877,55.568034",-82.429877,55.568034,3134.56735906,333.46,Visa,AO3411,Sedan,High,Yes,Thursday,Yes,5
30,2/9/22 15:15,"86.738257,-142.699307",86.738257,-142.699307,"-77.228302,-46.216032",-77.228302,-46.216032,8987.95573066204,918.80,Debit Card,CR7750,SUV,High,No,Wednesday,No,3
31,5/19/22 17:39,"-42.481136,59.575557",-42.481136,59.575557,"-5.635691,-131.386973",-5.635691,-131.386973,9893.62653114256,1009.36,Cash,WT5005,Motorcycle,Low,No,Sunday,No,1
32,11/1/23 14:56,"0.343634,-41.388716",0.343634,-41.388716,"-14.739514,152.322252",-14.739514,152.322252,9488.45167558626,968.85,Debit Card,PG4559,Sedan,High,No,Sunday,No,5
33,9/30/23 8:48,"-13.755791,-21.214834",-13.755791,-21.214834,"25.383137,-157.124597",25.383137,-157.124597,10015.1962000051,1021.52,PayPal,ZK6337,Motorcycle,High,No,Saturday,Yes,1
34,12/20/24 3:23,"1.626998,-72.092517",1.626998,-72.092517,"89.696764,-10.6335",89.696764,-10.6335,6544.31381263895,674.43,Apple Pay,DB9535,Motorcycle,Low,No,Wednesday,Yes,3
35,12/11/24 11:46,"75.960085,146.548916",75.960085,146.548916,"76.4082,-128.871372",76.4082,-128.871372,3049.13282839635,324.91,Visa,ID6730,Sedan,High,Yes,Monday,Yes,4
36,5/12/24 20:29,"-82.100675,-42.536814",-82.100675,-42.536814,"74.658054,29.690936",74.658054,29.690936,2913.020896786,311.30,Apple Pay,QU4459,SUV,Medium,No,Friday,No,4
37,1/24/23 16:20,"53.021113,-152.643422",53.021113,-152.643422,"24.701875,-47.793378",24.701875,-47.793378,8419.97431524166,862.00,Visa,TM0163,SUV,High,Yes,Thursday,Yes,5
38,6/8/22 6:37,"-9.737574,177.692561",-9.737574,177.692561,"-31.008539,-176.10462",-31.008539,-176.10462,2542.12512064932,274.21,Visa,KP4294,Motorcycle,High,Yes,Sunday,No,2
39,3/12/23 22:18,"-20.416906,-69.769834",-20.416906,-69.769834,"-14.557061,-68.833566",-14.557061,-68.833566,4069.79756040304,426.98,Cash,OZ8545,Motorcycle,Medium,No,Monday,Yes,3
40,4/20/24 6:12,"25.5124,-119.811474",25.5124,-119.811474,"5.969415,-148.908239",5.969415,-148.908239,6090.01436574399,629.00,Cash,JF5088,Sedan,Medium,No,Thursday,No,3
41,2/23/22 13:17,"1.325725,-31.302603",1.325725,-31.302603,"30.612471,-83.459208",30.612471,-83.459208,7678.59568984191,787.86,Cash,RM2276,Sedan,High,No,Friday,Yes,2
42,2/22/22 9:33,"-73.711965,-109.029682",-73.711965,-109.029682,"62.698835,52.694109",62.698835,52.694109,2430.82954864376,263.08,Apple Pay,QQ5149,Motorcycle,High,No,Saturday,No,2
43,2/12/23 3:33,"51.720811,-22.191644",51.720811,-22.191644,"-54.457988,127.530094",-54.457988,127.530094,10394.3994568653,1059.44,Debit Card,BQ7985,Sedan,Medium,No,Saturday,Yes,3
44,2/7/24 11:28,"30.278413,-41.674774",30.278413,-41.674774,"45.219103,106.65851",45.219103,106.65851,6325.13276234655,652.51,Visa,IL1609,Motorcycle,Low,Yes,Sunday,No,3
45,11/27/24 2:23,"-11.229114,177.375013",-11.229114,177.375013,"-39.718299,-172.087996",-39.718299,-172.087996,3410.16446451915,361.02,Cash,WT3555,Bus,Low,No,Saturday,No,2
46,3/4/22 20:03,"71.933572,77.445727",71.933572,77.445727,"-76.50453,104.394973",-76.50453,104.394973,2115.75192563504,231.58,Cash,ER3367,SUV,High,No,Wednesday,Yes,5
47,11/7/22 2:16,"26.219043,-148.018413",26.219043,-148.018413,"-31.770529,-42.845908",-31.770529,-42.845908,11659.9918895554,1186.00,Cash,LF8834,Motorcycle,Medium,Yes,Thursday,Yes,4
48,10/22/23 5:38,"-20.162806,-104.51238",-20.162806,-104.51238,"67.374676,-3.097778",67.374676,-3.097778,5197.7084132056,539.77,Debit Card,BQ1544,Motorcycle,Low,Yes,Wednesday,No,5
49,8/6/24 19:25,"90.365892,-126.743427",90.365892,-126.743427,"-58.773574,43.842335",-58.773574,43.842335,9904.1020456835,1010.41,Debit Card,JF7477,Bus,High,No,Friday,Yes,1
50,2/12/22 19:41,"-32.355559,161.240251",-32.355559,161.240251,"50.974514,7.023314",50.974514,7.023314,9564.07433578271,976.41,Apple Pay,NF7987,Bus,Medium,Yes,Tuesday,Yes,5
51,12/5/23 17:17,"81.75445,37.342825",81.75445,37.342825,"82.026131,151.638179",82.026131,151.638179,3469.09175379257,366.91,Apple Pay,BN3819,Bus,Low,Yes,Friday,Yes,4
52,6/5/24 2:07,"-63.63551,31.279464",-63.63551,31.279464,"-62.434311,-96.157831",-62.434311,-96.157831,6813.04995334784,701.30,PayPal,LL3902,SUV,Medium,No,Tuesday,No,4
53,9/2/23 14:17,"33.738007,-108.115317",33.738007,-108.115317,"55.235205,-130.616239",55.235205,-130.616239,7303.81221128888,750.38,Apple Pay,LL6485,SUV,Medium,Yes,Monday,Yes,1
54,11/13/24 21:59,"-34.989957,-159.15455",-34.989957,-159.15455,"74.906057,-68.589544",74.906057,-68.589544,2416.18564602748,261.62,Cash,NA5660,Sedan,Medium,No,Saturday,Yes,1
55,2/9/23 17:33,"-15.538852,-8.697866",-15.538852,-8.697866,"-39.548829,-114.863224",-39.548829,-114.863224,5087.19195150114,528.72,PayPal,TV2550,Bus,Low,Yes,Thursday,No,1
56,4/5/24 14:46,"-26.542226,-58.299228",-26.542226,-58.299228,"-21.903553,164.166272",-21.903553,164.166272,6564.75063747034,676.48,Visa,ZU9228,Motorcycle,Medium,No,Tuesday,Yes,1
57,1/26/24 15:05,"-40.602606,90.930479",-40.602606,90.930479,"37.868244,91.327975",37.868244,91.327975,9062.31206868867,926.23,Apple Pay,ZX1140,Sedan,Medium,No,Thursday,No,4
58,9/11/22 23:37,"-14.372394,-177.967875",-14.372394,-177.967875,"24.061483,-40.93878",24.061483,-40.93878,7849.39513282109,804.94,PayPal,RM4365,Motorcycle,Medium,Yes,Monday,Yes,3
59,11/29/22 14:23,"-27.677728,-134.927742",-27.677728,-134.927742,"-81.577465,133.613262",-81.577465,133.613262,2270.76707941813,247.08,PayPal,GP2543,SUV,High,No,Friday,Yes,2
60,12/18/22 11:13,"55.434134,96.810735",55.434134,96.810735,"60.065624,-27.370301",60.065624,-27.370301,2449.29400348799,264.93,Apple Pay,ZR0234,Motorcycle,Medium,Yes,Tuesday,No,4
61,7/28/23 7:24,"35.555387,-101.742995",35.555387,-101.742995,"-76.418568,146.508475",-76.418568,146.508475,8058.20342199733,825.82,Apple Pay,OP2186,Bus,High,No,Saturday,No,5
62,6/23/24 15:52,"-63.922525,-31.429859",-63.922525,-31.429859,"-64.774379,-117.553655",-64.774379,-117.553655,3175.19026185038,337.52,Cash,KD5118,Motorcycle,Low,No,Tuesday,Yes,4
63,3/15/24 10:13,"-41.21417,-104.816265",-41.21417,-104.816265,"76.838265,36.227164",76.838265,36.227164,4187.17298746131,438.72,Visa,RH3466,Sedan,Medium,Yes,Thursday,No,1
64,11/14/23 23:35,"18.975317,97.122822",18.975317,97.122822,"-63.980835,-96.411831",-63.980835,-96.411831,5325.67487067002,552.57,PayPal,RP1975,Bus,High,No,Thursday,No,3
65,6/25/22 5:24,"-44.108768,114.214661",-44.108768,114.214661,"-27.774667,26.49784",-27.774667,26.49784,9934.8309123106,1013.48,Cash,AU6464,Bus,High,Yes,Saturday,Yes,2
66,8/29/24 6:44,"17.502148,-22.988161",17.502148,-22.988161,"16.505322,-93.989042",16.505322,-93.989042,7955.94066335778,815.59,Cash,HY9189,SUV,High,No,Friday,Yes,5
67,7/6/23 15:01,"-65.401693,0.071206",-65.401693,0.071206,"-76.853824,-142.864483",-76.853824,-142.864483,5550.08045050655,575.01,Cash,MN2723,SUV,Low,No,Friday,Yes,1
68,9/19/24 18:55,"58.054084,155.622447",58.054084,155.622447,"-3.536487,151.755951",-3.536487,151.755951,2625.38706350753,282.54,Visa,DH1591,Sedan,High,No,Saturday,No,5
69,1/9/23 23:21,"16.552723,-37.975399",16.552723,-37.975399,"-9.581026,-124.627338",-9.581026,-124.627338,8269.76060570378,846.98,Debit Card,XU6232,Sedan,High,No,Sunday,No,4
70,5/22/22 2:43,"28.22493,-86.042112",28.22493,-86.042112,"69.410296,16.594207",69.410296,16.594207,8000.7059045023,820.07,Apple Pay,JG0068,Sedan,High,No,Thursday,Yes,2
71,6/18/22 18:55,"-36.674386,-92.245546",-36.674386,-92.245546,"29.652796,-109.812221",29.652796,-109.812221,3567.73801003797,376.77,PayPal,NM7704,Bus,Medium,No,Tuesday,No,3
72,9/25/22 7:53,"-38.952561,-115.15105",-38.952561,-115.15105,"-83.231939,49.760618",-83.231939,49.760618,2584.01782768245,278.40,Debit Card,YI5917,Bus,High,No,Tuesday,Yes,1
73,11/6/23 16:12,"-84.820089,-4.917225",-84.820089,-4.917225,"22.925189,18.014923",22.925189,18.014923,5522.42242108709,572.24,Debit Card,JV1967,Motorcycle,Medium,Yes,Sunday,Yes,4
74,7/8/24 19:43,"48.801821,119.620855",48.801821,119.620855,"-11.252359,37.210923",-11.252359,37.210923,4422.86253181512,462.29,PayPal,CY5097,SUV,Low,No,Monday,Yes,4
75,7/25/24 8:14,"58.082004,-34.185931",58.082004,-34.185931,"-29.462559,115.503113",-29.462559,115.503113,10131.0642860002,1033.11,Visa,SF4988,Motorcycle,Low,No,Thursday,No,1
76,5/9/22 9:14,"-35.676107,173.958525",-35.676107,173.958525,"32.324143,61.216414",32.324143,61.216414,9689.73168734127,988.97,Apple Pay,MA5171,SUV,Medium,Yes,Thursday,Yes,5
77,1/11/22 11:47,"-16.861453,-120.38922",-16.861453,-120.38922,"-27.750465,115.629118",-27.750465,115.629118,3475.61324517065,367.56,Debit Card,VZ1002,SUV,Medium,No,Sunday,Yes,5
78,9/17/22 6:45,"-83.299617,104.534161",-83.299617,104.534161,"16.518614,59.939521",16.518614,59.939521,11699.1032911073,1189.91,Apple Pay,AO1249,SUV,High,Yes,Saturday,No,3
79,10/21/23 22:38,"-54.898731,-65.474085",-54.898731,-65.474085,"-0.293892,131.109084",-0.293892,131.109084,3737.75912813571,393.78,Visa,HX0773,Motorcycle,Medium,Yes,Thursday,No,3
80,4/28/23 9:04,"29.209305,78.441473",29.209305,78.441473,"16.371346,-80.800948",16.371346,-80.800948,4343.0157432013,454.30,Visa,UO6237,Bus,High,Yes,Thursday,No,3
81,8/6/22 6:19,"60.349446,143.015744",60.349446,143.015744,"48.209994,-36.794907",48.209994,-36.794907,4198.61910274399,439.86,Apple Pay,JG7247,Bus,High,Yes,Monday,No,4
82,11/11/22 14:29,"-26.496299,-36.295459",-26.496299,-36.295459,"-62.399985,10.909792",-62.399985,10.909792,4276.05955325407,447.61,PayPal,IV9778,SUV,Medium,No,Monday,Yes,5
83,5/14/23 23:11,"77.146883,14.533759",77.146883,14.533759,"-76.775991,131.072044",-76.775991,131.072044,6003.83628734966,620.38,Apple Pay,NF7778,Bus,Low,No,Friday,No,3
84,1/10/22 5:55,"-35.167725,90.735723",-35.167725,90.735723,"-50.906569,-32.856585",-50.906569,-32.856585,8697.09996410494,889.71,Apple Pay,GQ5860,SUV,High,No,Tuesday,Yes,2
85,1/18/23 5:40,"-78.465115,-99.158296",-78.465115,-99.158296,"-85.150499,95.345427",-85.150499,95.345427,164.330343839325,36.43,Visa,FG0540,Motorcycle,Medium,No,Saturday,Yes,4
86,4/7/24 12:20,"-19.229088,46.465265",-19.229088,46.465265,"-46.170665,171.341214",-46.170665,171.341214,9604.20208018657,980.42,Debit Card,IS1630,SUV,Medium,Yes,Friday,Yes,3
87,11/7/24 8:32,"-63.79685,-156.761673",-63.79685,-156.761673,"-71.651813,17.288289",-71.651813,17.288289,4817.92112202242,501.79,PayPal,TW0765,Motorcycle,Low,Yes,Friday,No,5
88,12/24/24 2:08,"-37.36728,123.356169",-37.36728,123.356169,"26.48745,43.253057",26.48745,43.253057,10898.2661799264,1109.83,Visa,QD4529,SUV,Low,Yes,Saturday,No,4
89,12/24/22 8:46,"-75.108929,-150.255688",-75.108929,-150.255688,"-1.833074,25.211511",-1.833074,25.211511,5092.1813501166,529.22,Visa,MW1660,Sedan,Medium,No,Tuesday,No,3
90,12/7/22 17:26,"-28.509827,137.72224",-28.509827,137.72224,"-2.222324,64.333856",-2.222324,64.333856,8667.20163674214,886.72,Cash,TK4323,Motorcycle,Medium,Yes,Monday,No,4
91,9/8/24 8:36,"-81.705205,119.270109",-81.705205,119.270109,"86.188366,-106.26554",86.188366,-106.26554,9852.71818342504,1005.27,Apple Pay,VJ4429,Sedan,Low,Yes,Friday,No,4
92,5/7/23 17:37,"36.617761,-118.888759",36.617761,-118.888759,"-10.070571,14.913546",-10.070571,14.913546,10426.4309952772,1062.64,Apple Pay,HA8170,SUV,Medium,No,Tuesday,Yes,5
93,2/24/23 13:34,"-30.98615,-114.508908",-30.98615,-114.508908,"-35.093242,27.00526",-35.093242,27.00526,5004.10671798966,520.41,Apple Pay,MY0894,SUV,High,Yes,Friday,No,2
94,11/17/22 21:12,"-66.268829,-165.475062",-66.268829,-165.475062,"70.800977,65.375087",70.800977,65.375087,6847.91115368085,704.79,Debit Card,HM0561,Motorcycle,Medium,No,Wednesday,No,2
95,6/8/22 19:35,"-69.216884,-179.027625",-69.216884,-179.027625,"90.405029,-20.479051",90.405029,-20.479051,5653.34766079057,585.33,PayPal,CD6059,SUV,High,No,Thursday,No,3
96,9/2/22 9:43,"-49.008118,-120.795615",-49.008118,-120.795615,"57.378389,11.883161",57.378389,11.883161,4533.40056137593,473.34,Visa,WU8116,Motorcycle,Medium,No,Thursday,Yes,3
97,8/26/24 9:39,"77.032588,100.661268",77.032588,100.661268,"-32.674233,-48.664304",-32.674233,-48.664304,1616.74604599163,181.67,Cash,BA8698,SUV,High,Yes,Friday,No,4
98,1/28/22 7:26,"46.771002,78.62543",46.771002,78.62543,"86.178673,158.808228",86.178673,158.808228,2833.42566496749,303.34,Visa,CK6805,Motorcycle,High,Yes,Tuesday,Yes,2
99,10/9/24 3:37,"41.119613,-85.788553",41.119613,-85.788553,"-0.572288,70.126097",-0.572288,70.126097,8955.80160409594,915.58,Cash,MQ5615,Bus,Medium,Yes,Sunday,Yes,1
100,9/12/22 20:18,"-23.06865,50.612018",-23.06865,50.612018,"-50.250834,132.954742",-50.250834,132.954742,10526.5789677066,1072.66,PayPal,PL2990,Bus,Medium,Yes,Sunday,Yes,1
101,10/18/22 5:17,"12.268772,166.777455",12.268772,166.777455,"-55.858572,-25.002968",-55.858572,-25.002968,9685.8036802145,988.58,Cash,PY5914,SUV,Medium,No,Tuesday,Yes,5
102,11/6/24 16:01,"-8.102203,51.92173",-8.102203,51.92173,"35.732714,90.629687",35.732714,90.629687,5258.55978615978,545.86,PayPal,QF4907,Sedan,High,No,Thursday,No,1
103,3/23/23 16:01,"-42.987258,-159.182001",-42.987258,-159.182001,"76.488324,136.379171",76.488324,136.379171,6618.0385585111,681.80,Debit Card,EN3725,Motorcycle,High,No,Friday,Yes,3
104,12/4/24 14:30,"-42.072864,-47.294264",-42.072864,-47.294264,"-39.74558,-155.303912",-39.74558,-155.303912,5115.02224258375,531.50,PayPal,WC3520,SUV,Low,Yes,Sunday,Yes,5
105,6/18/23 15:41,"11.126327,10.166052",11.126327,10.166052,"73.313456,135.58674",73.313456,135.58674,4221.31733525646,442.13,PayPal,OR7179,Sedan,Medium,Yes,Saturday,Yes,3
106,6/11/22 7:26,"25.807245,-105.256501",25.807245,-105.256501,"32.375837,157.908974",32.375837,157.908974,7351.91329206216,755.19,Cash,GB8677,Bus,High,No,Wednesday,Yes,3
107,4/13/24 1:42,"-20.899709,-125.586869",-20.899709,-125.586869,"-39.180494,103.102192",-39.180494,103.102192,3035.64528966932,323.56,Apple Pay,IC8067,Sedan,Low,No,Sunday,No,4
108,10/16/23 6:32,"-55.880028,74.089006",-55.880028,74.089006,"-56.928901,132.120066",-56.928901,132.120066,11155.3430964477,1135.53,Cash,UM7239,SUV,Medium,Yes,Friday,Yes,1
109,12/24/23 22:00,"-51.099039,157.251819",-51.099039,157.251819,"-50.435253,-133.243547",-50.435253,-133.243547,7733.90300059993,793.39,PayPal,NG4499,Sedan,Medium,Yes,Tuesday,No,5
110,9/3/24 10:13,"37.030213,145.802726",37.030213,145.802726,"36.467901,-26.253264",36.467901,-26.253264,6076.79799388874,627.68,Cash,ZP8154,SUV,High,Yes,Sunday,Yes,1
111,12/31/24 13:23,"31.975485,-56.744841",31.975485,-56.744841,"-86.493687,112.853553",-86.493687,112.853553,10492.6137255223,1069.26,Visa,TG9593,Motorcycle,Medium,No,Monday,No,5
112,8/3/24 9:59,"15.94633,2.288032",15.94633,2.288032,"-43.595545,-12.770001",-43.595545,-12.770001,2299.58066779152,249.96,PayPal,KV3798,SUV,High,Yes,Sunday,Yes,4
113,3/11/23 3:56,"56.619017,-139.699969",56.619017,-139.699969,"30.001175,-77.997339",30.001175,-77.997339,7893.14219443812,809.31,Visa,LP3178,Motorcycle,Low,No,Sunday,Yes,5
114,6/10/24 16:17,"-74.859918,2.653035",-74.859918,2.653035,"-31.643585,-21.851887",-31.643585,-21.851887,5371.36258084391,557.14,Cash,XF6603,SUV,Medium,Yes,Tuesday,No,2
115,4/7/22 1:50,"80.080291,-20.943746",80.080291,-20.943746,"27.771579,174.542601",27.771579,174.542601,8231.11505728257,843.11,Debit Card,OG9554,Sedan,Medium,No,Saturday,No,5
116,3/8/24 12:21,"-2.770545,54.478913",-2.770545,54.478913,"48.24733,64.424086",48.24733,64.424086,4063.03728060307,426.30,Debit Card,YX9960,SUV,Medium,Yes,Friday,Yes,1
117,7/10/22 14:31,"-32.739953,85.61823",-32.739953,85.61823,"71.000088,-79.558386",71.000088,-79.558386,8742.75743289061,894.28,Debit Card,QR4406,Motorcycle,High,Yes,Wednesday,Yes,3
118,4/2/23 21:33,"-28.564018,145.779051",-28.564018,145.779051,"-49.728414,23.708145",-49.728414,23.708145,8182.53431724507,838.25,Visa,KH5211,Motorcycle,High,Yes,Friday,Yes,2
119,8/22/24 13:37,"-89.098378,-57.297054",-89.098378,-57.297054,"67.811107,-89.169229",67.811107,-89.169229,2317.14742034775,251.71,Debit Card,ZV9422,Motorcycle,Medium,No,Tuesday,Yes,3
120,10/14/24 2:44,"-13.852808,-52.477989",-13.852808,-52.477989,"-84.445652,-137.721913",-84.445652,-137.721913,3943.94678042593,414.39,PayPal,KJ5594,Sedan,Medium,No,Saturday,Yes,3
121,10/27/24 7:33,"-41.164367,79.914732",-41.164367,79.914732,"-86.124515,180.398464",-86.124515,180.398464,9051.71507823205,925.17,PayPal,HE4905,Motorcycle,Low,Yes,Saturday,Yes,1
122,5/13/23 7:24,"-86.071867,103.029293",-86.071867,103.029293,"-19.130774,-69.988198",-19.130774,-69.988198,11679.3266241312,1187.93,Debit Card,HS2603,Motorcycle,High,No,Saturday,No,1
123,9/16/24 20:30,"-34.644627,99.54266",-34.644627,99.54266,"-39.427799,52.120443",-39.427799,52.120443,8557.31966347419,875.73,Cash,LA8817,Motorcycle,High,No,Saturday,Yes,4
124,8/29/22 14:13,"-33.254338,-177.571218",-33.254338,-177.571218,"-70.641465,168.313988",-70.641465,168.313988,4352.63640616058,455.26,Apple Pay,DM1911,Sedan,High,No,Thursday,Yes,5
125,12/27/23 17:49,"24.132114,155.319207",24.132114,155.319207,"14.368886,57.930244",14.368886,57.930244,7979.31268026177,817.93,Cash,XD0308,Sedan,High,No,Wednesday,No,4
126,11/25/24 0:11,"30.085172,-104.257125",30.085172,-104.257125,"-25.18164,-127.810506",-25.18164,-127.810506,8019.22321067313,821.92,Apple Pay,PY2487,Motorcycle,Low,No,Sunday,No,2
127,2/24/24 12:06,"-70.570657,90.286086",-70.570657,90.286086,"-55.225727,-4.13227",-55.225727,-4.13227,11107.3743580679,1130.74,PayPal,YH6442,Bus,High,No,Thursday,Yes,3
128,3/8/24 14:23,"-75.768371,68.209976",-75.768371,68.209976,"77.967669,174.704795",77.967669,174.704795,10752.305961969,1095.23,Debit Card,XB9231,Bus,High,No,Monday,No,5
129,8/11/24 19:35,"56.489037,163.388154",56.489037,163.388154,"-77.386936,87.713743",-77.386936,87.713743,2863.49971122813,306.35,Cash,SQ3306,Bus,Medium,Yes,Thursday,No,1
130,11/11/23 11:32,"72.834861,-85.506298",72.834861,-85.506298,"35.546661,143.331452",35.546661,143.331452,11308.1537612535,1150.82,Debit Card,RA3255,Motorcycle,High,Yes,Friday,Yes,4
131,11/26/24 15:47,"-59.793244,-2.131896",-59.793244,-2.131896,"-79.538783,14.85266",-79.538783,14.85266,6243.91694586178,644.39,Visa,NJ4553,Motorcycle,High,Yes,Saturday,No,3
132,10/4/22 2:50,"69.668635,149.260597",69.668635,149.260597,"-59.39472,24.251365",-59.39472,24.251365,4387.50854336126,458.75,Cash,JJ1376,Bus,Medium,Yes,Saturday,No,3
133,4/27/22 10:47,"-56.146792,81.319237",-56.146792,81.319237,"-75.840426,-122.7152",-75.840426,-122.7152,9657.8995454693,985.79,Visa,KV3261,Bus,Medium,No,Thursday,No,5
134,9/21/23 4:03,"81.637254,-154.776442",81.637254,-154.776442,"84.066469,-94.992761",84.066469,-94.992761,7383.89741912377,758.39,Debit Card,XS2686,Bus,Low,No,Thursday,Yes,4
135,12/5/24 3:14,"19.94643,-169.856926",19.94643,-169.856926,"-71.578471,153.710203",-71.578471,153.710203,3715.91612587361,391.59,Apple Pay,MT4845,Bus,Low,No,Thursday,No,3
